Khedira - 2.64;3.5;5.5;4.0;6.56;3.67;2.33;5.17;3.12;7.4;5.56;3.2;3.92;3.67;8.0
Cristiano Ronaldo - 5.27;4.38;6.12;6.38;8.43;7.69;7.5;2.56;8.17;6.69;5.8;8.11;5.6;9.42;8.8;8.89;9.89;8.86;8.0;3.89;6.0
Xabi Alonso - 5.18;5.6;4.89;7.56;7.29;7.62;8.5;7.33;6.22;6.17;4.67
Modric - 6.82;7.88;9.5;6.5;7.14;6.38;5.67;5.11;7.17;6.12;6.1;5.11;5.7;5.83;6.2;6.78;9.11;8.0;4.33;9.67;7.11;8.0
Morata - 5.22;4.5;5.0;5.0;6.22;6.0;8.31;6.8;5.62;4.33;7.57;7.08;2.33;4.33
Casemiro - 5.68;5.31;5.75;8.29;7.0;2.33;5.0
Arbeloa - 5.62;5.75;6.29;7.12;3.5;2.0;3.5;5.22;3.33;4.2;7.67;7.21;9.44;5.0;6.67;5.83;4.0
Ancelotti - 5.4;5.25;6.36;2.0;7.5;6.83;0.5;0.89;4.2;2.38;6.7;2.62;1.6;3.91;1.0;1.44;6.56;7.14;7.0;8.5;4.0;7.33;1.56;6.67;3.33
Gareth Bale - 6.0;5.86;4.0;5.4;3.22;3.0;9.33;7.8;7.22;6.89;6.14;7.12;9.71;5.33;2.11
Sergio Ramos - 3.09;6.12;5.44;4.0;6.14;1.83;3.22;6.19;6.8;5.89;4.2;4.17;4.6;3.22;6.93;1.76;6.96;6.33;3.0;2.33
Jesé - 5.44;6.57;6.94;7.28;6.8;2.0;7.57;6.0;7.46;3.67;6.0;6.67;8.67
Marcelo - 7.68;5.62;6.25;8.5;7.06;7.1;5.33;3.4;6.33;3.0;4.11;7.12;8.04;3.0;7.0;4.78;5.0;5.33
Varane - 7.83;6.81;4.6;4.67;3.33;6.67
Nacho - 5.0;2.75;6.75;6.81;6.67;7.67;6.3;6.33;7.67
Benzema - 4.95;5.31;5.12;2.5;8.57;5.0;1.2;1.78;5.33;3.38;2.44;5.9;9.08;6.6;4.67;7.89;6.5;7.92;3.0;5.67;2.22;4.0;2.67
Pepe - 5.45;7.25;6.75;3.5;5.29;7.0;6.67;3.0;6.67;6.5;5.78;5.8;2.6;4.89;5.78;7.21;7.25;8.17;7.17;6.83;6.33
Casillas - 5.0;5.5;6.0;7.89;7.0;7.0;7.33;7.0
Coentrão - 3.83;3.33;3.25;3.6
Isco - 7.0;6.44;9.0;5.88;8.14;8.62;5.0;4.0;6.67;4.12;5.4;4.89;7.08;5.75;7.86;8.38;7.92;7.0;6.67;7.56;7.17;5.67
Illarramendi - 5.88;6.0;6.56;3.17;3.22;5.17;6.2;5.33;6.8;5.25;2.4;5.33;5.22;7.29;6.19;3.33;6.0;7.17
Diego López - 5.45;6.88;6.25;8.75;7.71;7.38;7.33;6.0;5.62;6.75;3.8;6.17;7.0;6.89;8.21;8.05;6.11;4.33
Carvajal - 4.18;5.0;5.0;6.88;7.29;7.44;5.0;6.5;8.3;4.2;3.4;7.11;7.86;6.0;7.67;5.33;3.67;5.67;7.33
Di María - 4.95;7.56;7.69;4.0;7.57;8.25;4.67;1.78;9.0;4.38;7.5;7.0;3.7;5.67;3.2;2.12;8.06;6.92;2.33;6.83;3.11;6.33;7.33
